npc_id,note,room_number,key_id,lodger_id,hall,due_time
70012,말하는 섬 - 세레나,0,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,1,0,0,1,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,2,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,3,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,4,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,5,0,0,0,2011-05-19 05:16:07
70012,말하는 섬 - 세레나,6,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,7,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,8,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,9,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,10,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,11,0,0,0,2011-05-19 05:16:07
70012,말하는 섬 - 세레나,12,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,13,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,14,0,0,0,2011-05-19 05:46:37
70012,말하는 섬 - 세레나,15,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,0,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,1,0,0,0,2011-05-19 05:16:07
70019,글루 디오 - 로리아,2,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,3,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,4,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,5,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,6,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,7,0,0,0,2011-05-19 05:16:07
70019,글루 디오 - 로리아,8,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,9,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,10,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,11,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,12,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,13,0,0,0,2011-05-19 05:16:07
70019,글루 디오 - 로리아,14,0,0,0,2011-05-19 05:46:37
70019,글루 디오 - 로리아,15,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,0,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,1,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,2,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,3,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,4,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,5,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,6,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,7,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,8,0,0,0,2011-05-19 05:16:07
70031,기란 - 모리,9,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,10,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,11,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,12,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,13,0,0,0,2011-05-19 05:46:37
70031,기란 - 모리,14,0,0,0,2011-05-19 05:16:07
70031,기란 - 모리,15,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,0,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,1,0,0,0,2011-05-19 05:16:07
70065,오렌 마을 - 엔케,2,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,3,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,4,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,5,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,6,0,0,0,2011-05-19 05:46:37
70065,오렌 마을 - 엔케,7,0,0,0,2011-05-19 05:46:37
