npc_id,note,chat_timing,start_delay_time,chat_id1,chat_id2,chat_id3,chat_id4,chat_id5,chat_interval,is_shout,is_world_chat,is_repeat,repeat_interval,game_time
45473,발터 자르,0,0,$339,,,,,0,1,0,1,20000,0
45488,카스파,0,5000,$340,,,,,0,1,0,1,20000,0
45497,메르 키 오르,0,10000,$341,,,,,0,1,0,1,20000,0
45464,세마,0,15000,$342,,,,,0,1,0,1,20000,0
45545,흑 장로,0,0,$993,,,,,0,1,0,1,10000,0
45545,흑 장로,1,0,$995,,,,,0,0,0,0,0,0
45600,커츠,0,0,$275,$279,$281,$285,$287,5000,0,0,0,0,0
45600,커츠,1,0,$302,,,,,0,0,0,0,0,0
45264,하피,2,0,$994,,,,,0,0,0,0,0,0
45573,바포메트,0,0,$825,,,,,0,1,0,0,0,0
45931,물의 정령,1,0,$5167,,,,,0,0,0,0,0,0
45935,저주받은 메두사,0,0,$5169,,,,,0,0,0,0,10000,0
45941,저주받은 무녀 사엘,1,0,$5166,,,,,0,1,0,0,0,0
45942,저주받은 물의 대 정령,0,0,$5170,,,,,0,1,0,0,10000,0
45943,카푸,1,0,$5165,,,,,0,0,0,0,0,0
46083,순찰병 2,0,0,$5016,,,,,0,1,0,0,0,0
46098,순찰병 2,0,0,$5014,,,,,0,1,0,0,0,0
45577,여단장 다크 펜서,1,0,$3892,,,,,0,0,0,0,0,0
45607,마수 단장 카이 바르,1,0,$3900,,,,,0,0,0,0,0,0
45863,마령 군왕 라이아,1,0,$3908,,,,,0,0,0,0,0,0
45676,명법 군왕 헬 바인,1,0,$3923,,,,,0,0,0,0,0,0
45648,암살 군왕 슬레이브,1,0,$3940,,,,,0,0,0,0,0,0
45588,사단장 싱클레어,1,0,$3901,,,,,0,0,0,0,0,0
45602,마법 단장 카르 미엘,1,0,$3903,,,,,0,0,0,0,0,0
45608,용병 대장 메 파이 스토,1,0,$3930,,,,,0,0,0,0,0,0
45612,신 관장 바운티,1,0,$3912,,,,,0,0,0,0,0,0
45844,마수 군왕 바란카,1,0,$3895,,,,,0,0,0,0,0,0
45615,명법 단장 크리퍼스,1,0,$3917,,,,,0,0,0,0,0,0
45585,암살 단장 블레이즈,1,0,$3939,,,,,0,0,0,0,0,0
45574,친위대 장 카이트,1,0,$3938,,,,,0,0,0,0,0,0
45492,쿠만,1,0,$3943,,,,,0,0,0,0,0,0
45548,호세,1,0,$4030,,,,,0,0,0,0,0,0
45955,대법관 케이 나,1,0,$4625,,,,,0,0,0,0,0,0
45959,대법관 이데아,1,0,$4626,,,,,0,0,0,0,0,0
45963,부제 사장 카산드라,1,0,$3888,,,,,0,0,0,0,0,0
46157,오크 밀사,1,0,$6127,,,,,0,0,0,0,0,0
46158,오크 밀사,1,0,$6127,,,,,0,0,0,0,0,0
46159,오크 밀사,1,0,$6127,,,,,0,0,0,0,0,0
81175,현상범 쿠작,0,0,$5325,,,,,0,1,0,1,15000,0
81175,현상범 쿠작,1,0,$5327,,,,,0,0,0,0,0,0
45458,드레이크의 영혼,1,0,$3603,,,,,0,0,0,0,0,0
45513,왜곡의 제니스 퀸,0,0,$12368,$12369,$12370,,,0,0,0,1,10000,0
45513,왜곡의 제니스 퀸,1,0,$12413,,,,,0,0,0,0,0,0
45547,불신의 시어,0,0,$12371,$12372,$12373,,,0,0,0,1,10000,0
45547,불신의 시어,1,0,$12414,,,,,0,0,0,0,0,0
45606,공포의 뱀파이어,0,0,$12374,$12375,$12376,,,0,0,0,1,10000,0
45606,공포의 뱀파이어,1,0,$12415,,,,,0,0,0,0,0,0
45650,죽음의 좀비로드,0,0,$12377,$12378,$12379,,,0,0,0,1,10000,0
45650,죽음의 좀비로드,1,0,$12416,,,,,0,0,0,0,0,0
45652,지옥의 쿠거,0,0,,,,,,0,0,0,1,10000,0
45652,지옥의 쿠거,1,0,$12417,,,,,0,0,0,0,0,0
45653,불사의 머미로드,0,0,$12383,$12384,$12385,,,0,0,0,1,10000,0
45653,불사의 머미로드,1,0,$12419,,,,,0,0,0,0,0,0
45654,냉혹 아이리스,0,0,$12386,$12387,$12388,,,0,0,0,1,10000,0
45654,냉혹 아이리스,1,0,$12418,,,,,0,0,0,0,0,0
45618,어둠의 나이트 발드,0,0,$12389,$12390,$12391,,,0,0,0,1,10000,0
45618,어둠의 나이트 발드,1,0,$12420,,,,,0,0,0,0,0,0
45672,불멸의 리치,0,0,$12392,$12393,$12394,,,0,0,0,1,10000,0
45672,불멸의 리치,1,0,$12421,,,,,0,0,0,0,0,0
45673,사신 그림 리퍼,0,0,$12395,$12396,$12397,$12398,$12399,0,0,0,1,10000,0
45673,사신 그림 리퍼,1,0,$12422,,,,,0,0,0,0,0,0
46210,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46210,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46211,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46211,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46212,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46212,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46213,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46213,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46214,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46214,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46215,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46215,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46216,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46216,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46217,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46217,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46218,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46218,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46219,감독 리퍼,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46219,감독 리퍼,1,0,$12412,,,,,0,0,0,0,0,0
46220,우구 누스,0,0,$12448,$12449,$12450,,,0,0,0,1,10000,0
46220,우구 누스,1,0,$12424,,,,,0,0,0,0,0,0
80195,공지 사항 소년,0,0,$8917,$8918,,,,0,0,0,1,60000,0
80241,특별 점원,0,0,$11620,$11621,,,,0,0,0,1,60000,0
91471,올 딘,0,5000,$9575,,,,,0,0,0,1,15000,0
91472,세마,0,5000,$9574,,,,,0,0,0,1,15000,0
91473,발타자르,0,5000,$9571,,,,,0,0,0,1,15000,0
91474,카스파,0,5000,$9572,,,,,0,0,0,1,15000,0
91475,멜키 오르,0,5000,$9573,,,,,0,0,0,1,15000,0
91479,바포메트,0,3000,$9576,,,,,0,0,0,0,0,0
91493,세마,0,5000,$9574,$9568,$9569,$9570,,5000,0,0,1,15000,0
99071,커츠,0,0,$275,$279,$281,$285,$287,5000,0,0,0,0,0
99071,커츠,1,0,$302,,,,,0,0,0,0,0,0
