house_id,note,deadline,price,owner_id,bidder_id
262145,기란아지트 1,2012-06-20 09:00:00,100000,0,0
262146,기란아지트 2,2012-06-20 09:00:00,100000,0,0
262147,기란아지트 3,2012-06-20 09:00:00,100000,0,0
262148,기란아지트 4,2012-06-20 09:00:00,100000,0,0
262149,기란아지트 5,2012-06-20 09:00:00,100000,0,0
262150,기란아지트 6,2012-06-20 09:00:00,100000,0,0
262151,기란아지트 7,2012-06-20 09:00:00,100000,0,0
262152,기란아지트 8,2012-06-20 09:00:00,100000,0,0
262153,기란아지트 9,2012-06-20 09:00:00,100000,0,0
262154,기란아지트 10,2012-06-20 09:00:00,100000,0,0
262155,기란아지트 11,2012-06-20 09:00:00,100000,0,0
262156,기란아지트 12,2012-06-20 09:00:00,100000,0,0
262157,기란아지트 13,2012-06-20 09:00:00,100000,0,0
262158,기란아지트 14,2012-06-20 09:00:00,100000,0,0
262159,기란아지트 15,2012-06-20 09:00:00,100000,0,0
262160,기란아지트 16,2012-06-20 09:00:00,100000,0,0
262161,기란아지트 17,2012-06-20 09:00:00,100000,0,0
262162,기란아지트 18,2012-06-20 09:00:00,100000,0,0
262163,기란아지트 19,2012-06-20 09:00:00,100000,0,0
262164,기란아지트 20,2012-06-20 09:00:00,100000,0,0
262165,기란아지트 21,2012-06-20 09:00:00,100000,0,0
262166,기란아지트 22,2012-06-20 09:00:00,100000,0,0
262167,기란아지트 23,2012-06-20 09:00:00,100000,0,0
262168,기란아지트 24,2012-06-20 09:00:00,100000,0,0
262169,기란아지트 25,2012-06-20 09:00:00,100000,0,0
262170,기란아지트 26,2012-06-20 09:00:00,100000,0,0
262171,기란아지트 27,2012-06-20 09:00:00,100000,0,0
262172,기란아지트 28,2012-06-20 09:00:00,100000,0,0
262173,기란아지트 29,2012-06-20 09:00:00,100000,0,0
262174,기란아지트 30,2012-06-20 09:00:00,100000,0,0
262175,기란아지트 31,2012-06-20 09:00:00,100000,0,0
262176,기란아지트 32,2012-06-20 09:00:00,100000,0,0
262177,기란아지트 33,2012-06-20 09:00:00,100000,0,0
262178,기란아지트 34,2012-06-20 09:00:00,100000,0,0
262179,기란아지트 35,2012-06-20 09:00:00,100000,0,0
262180,기란아지트 36,2012-06-20 09:00:00,100000,0,0
262181,기란아지트 37,2012-06-20 09:00:00,100000,0,0
262182,기란아지트 38,2012-06-20 09:00:00,100000,0,0
262183,기란아지트 39,2012-06-20 09:00:00,100000,0,0
262184,기란아지트 40,2012-06-20 09:00:00,100000,0,0
262185,기란아지트 41,2012-06-20 09:00:00,100000,0,0
262186,기란아지트 42,2012-06-20 09:00:00,100000,0,0
262187,기란아지트 43,2012-06-20 09:00:00,100000,0,0
262188,기란아지트 44,2012-06-20 09:00:00,100000,0,0
262189,기란아지트 45,2012-06-20 09:00:00,100000,0,0
327681,하이네아지트 1,2012-06-20 09:00:00,100000,0,0
327682,하이네아지트 2,2012-06-20 09:00:00,100000,0,0
327683,하이네아지트 3,2012-06-20 09:00:00,100000,0,0
327684,하이네아지트 4,2012-06-20 09:00:00,100000,0,0
327685,하이네아지트 5,2012-06-20 09:00:00,100000,0,0
327686,하이네아지트 6,2012-06-20 09:00:00,100000,0,0
327687,하이네아지트 7,2012-06-20 09:00:00,100000,0,0
327688,하이네아지트 8,2012-06-20 09:00:00,100000,0,0
327689,하이네아지트 9,2012-06-20 09:00:00,100000,0,0
327690,하이네아지트 10,2012-06-20 09:00:00,100000,0,0
327691,하이네아지트 11,2012-06-20 09:00:00,100000,0,0
524289,글루딘 아지트 1,2012-06-20 09:00:00,100000,0,0
524290,글루딘 아지트 2,2012-06-20 09:00:00,100000,0,0
524291,글루딘 아지트 3,2012-06-20 09:00:00,100000,0,0
524292,글루딘 아지트 4,2012-06-20 09:00:00,100000,0,0
524293,글루딘 아지트 5,2012-06-20 09:00:00,100000,0,0
524294,글루딘 아지트 6,2012-06-20 09:00:00,100000,0,0
