area_x1,area_y1,area_x2,area_y2,area_map_id,getback_x1,getback_y1,getback_x2,getback_y2,getback_x3,getback_y3,getback_map_id,getback_town_id,getback_town_id_elf,getback_town_id_darkelf,scroll_escape,note
0,0,0,0,0,32574,32941,32574,32941,32574,32941,0,1,0,0,1,Talking Island
0,0,0,0,1,32574,32941,32574,32941,32574,32941,0,1,0,0,1,Talking Island Dungeon 1F
0,0,0,0,2,32574,32941,32574,32941,32574,32941,0,1,0,0,1,Talking Island Dungeon 2F
0,0,0,0,3,32574,32941,32574,32941,32574,32941,0,1,0,0,1,Gunter's House
0,0,0,0,5,32624,32813,32624,32813,32624,32813,4,1,0,0,1,Talking Island Ship to Aden Mainland
0,0,0,0,6,32574,32941,32574,32941,32574,32941,0,3,0,0,1,Aden Mainland Ship to Talking Island
0,0,0,0,7,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 1F
0,0,0,0,8,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 2F
0,0,0,0,9,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 3F
0,0,0,0,10,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 4F
0,0,0,0,11,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 5F
0,0,0,0,12,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 6F
0,0,0,0,13,32624,32813,32624,32813,32624,32813,4,3,0,0,1,Mainland Dungeon 7F
0,0,0,0,14,32574,32941,32574,32941,32574,32941,0,0,0,0,1,Underground Passage
0,0,0,0,15,33049,32780,33049,32780,33049,32780,4,6,0,0,1,Kent Inner Castle
0,0,0,0,16,33051,32343,33051,32343,33051,32343,4,0,0,0,1,Hardin's Lab
0,0,0,0,17,33051,32343,33051,32343,33051,32343,4,4,11,0,1,Nerupa's Cave
0,0,0,0,18,33051,32343,33051,32343,33051,32343,4,4,11,0,1,Dupelgenon Dungeon
0,0,0,0,19,32745,32445,32745,32445,32745,32445,4,4,11,0,1,Elven Dungeon 1F
0,0,0,0,20,32745,32445,32745,32445,32745,32445,4,4,11,0,1,Elven Dungeon 2F
0,0,0,0,21,32745,32445,32745,32445,32745,32445,4,4,11,0,1,Elven Dungeon 3F
0,0,0,0,22,33089,33397,33089,33397,33089,33397,4,0,0,0,1,Gerard Test Dungeon
0,0,0,0,23,32612,33188,32612,33188,32612,33188,4,5,0,0,1,Windawood Castle Dungeon 1F
0,0,0,0,24,32612,33188,32612,33188,32612,33188,4,5,0,0,1,Windawood Castle Dungeon 2F
0,0,0,0,25,33089,33397,33089,33397,33089,33397,4,2,0,0,1,Silver Knight Town Caves 1F
0,0,0,0,26,33089,33397,33089,33397,33089,33397,4,2,0,0,1,Silver Knight Town Caves 2F
0,0,0,0,27,33089,33397,33089,33397,33089,33397,4,2,0,0,1,Silver Knight Town Caves 3F
0,0,0,0,28,33089,33397,33089,33397,33089,33397,4,2,0,0,1,Silver Knight Town Caves 4F
0,0,0,0,29,32612,33188,32612,33188,32612,33188,4,5,0,0,1,Windawood Inner Castle
0,0,0,0,30,33429,32814,33429,32814,33429,32814,4,7,0,0,1,Dragon Valley Caves 1F
0,0,0,0,31,33429,32814,33429,32814,33429,32814,4,7,0,0,1,Dragon Valley Caves 2F
0,0,0,0,32,33429,32814,33429,32814,33429,32814,4,7,0,0,1,Dragon Valley Caves 3F
