area,loc_x,loc_y,map_id,note
5,32631,32983,0,話せる島
6,32543,32728,4,オーク村
53,33426,32823,4,オーク村
54,33426,32823,4,オーク村
55,33426,32823,4,オーク村
56,33426,32823,4,オーク村
70,32828,32848,70,忘れられた島
75,34047,32283,4,オーク村
76,34047,32283,4,オーク村
77,34047,32283,4,オーク村
78,34047,32283,4,オーク村
79,34047,32283,4,オーク村
80,34047,32283,4,オーク村
81,34047,32283,4,オーク村
82,34047,32283,4,オーク村
83,33426,33499,4,オーク村
84,32936,33057,70,忘れられた島
86,32691,32864,2005,Northern Valley(Beginners Zone)
88,33442,32797,0,話せる島
91,32580,32931,4,オーク村
92,32612,32734,0,話せる島
95,33080,33392,4,オーク村
98,33705,32504,4,オーク村
101,33926,33346,4,オーク村
102,33926,33346,4,オーク村
103,33926,33346,4,オーク村
104,33926,33346,4,オーク村
105,33926,33346,4,オーク村
106,33926,33346,4,オーク村
107,33926,33346,4,オーク村
108,33926,33346,4,オーク村
109,33926,33346,4,オーク村
110,33926,33346,4,オーク村
111,33926,33346,4,オーク村
112,33926,33346,4,オーク村
113,33926,33346,4,オーク村
114,33926,33346,4,オーク村
115,33926,33346,4,オーク村
116,33926,33346,4,オーク村
117,33926,33346,4,オーク村
118,33926,33346,4,オーク村
119,33926,33346,4,オーク村
120,33926,33346,4,オーク村
121,33926,33346,4,オーク村
122,33926,33346,4,オーク村
123,33926,33346,4,オーク村
124,33926,33346,4,オーク村
125,33926,33346,4,オーク村
126,33926,33346,4,オーク村
127,33926,33346,4,オーク村
128,33926,33346,4,オーク村
129,33926,33346,4,オーク村
130,33926,33346,4,オーク村
131,33926,33346,4,オーク村
132,33926,33346,4,オーク村
133,33926,33346,4,オーク村
134,33926,33346,4,オーク村
135,33926,33346,4,オーク村
136,33926,33346,4,オーク村
137,33926,33346,4,オーク村
138,33926,33346,4,オーク村
139,33926,33346,4,オーク村
140,33926,33346,4,オーク村
141,33926,33346,4,オーク村
142,33926,33346,4,オーク村
143,33926,33346,4,オーク村
144,33926,33346,4,オーク村
145,33926,33346,4,オーク村
146,33926,33346,4,オーク村
147,33926,33346,4,オーク村
148,33926,33346,4,オーク村
149,33926,33346,4,オーク村
150,33926,33346,4,オーク村
151,33926,33346,4,オーク村
152,33926,33346,4,オーク村
153,33926,33346,4,オーク村
154,33926,33346,4,オーク村
155,33926,33346,4,オーク村
156,33926,33346,4,オーク村
157,33926,33346,4,オーク村
158,33926,33346,4,オーク村
159,33926,33346,4,オーク村
160,33926,33346,4,オーク村
161,33926,33346,4,オーク村
162,33926,33346,4,オーク村
163,33926,33346,4,オーク村
164,33926,33346,4,オーク村
165,33926,33346,4,オーク村
166,33926,33346,4,オーク村
167,33926,33346,4,オーク村
168,33926,33346,4,オーク村
169,33926,33346,4,オーク村
170,33926,33346,4,オーク村
171,33926,33346,4,オーク村
172,33926,33346,4,オーク村
173,33926,33346,4,オーク村
174,33926,33346,4,オーク村
175,33926,33346,4,オーク村
176,33926,33346,4,オーク村
177,33926,33346,4,オーク村
178,33926,33346,4,オーク村
179,33926,33346,4,オーク村
180,33926,33346,4,オーク村
181,33926,33346,4,オーク村
182,33926,33346,4,オーク村
183,33926,33346,4,オーク村
184,33926,33346,4,オーク村
185,33926,33346,4,オーク村
186,33926,33346,4,オーク村
187,33926,33346,4,オーク村
188,33926,33346,4,オーク村
189,33926,33346,4,オーク村
190,33926,33346,4,オーク村
191,33926,33346,4,オーク村
192,33926,33346,4,オーク村
193,33926,33346,4,オーク村
194,33926,33346,4,オーク村
195,33926,33346,4,オーク村
196,33926,33346,4,オーク村
197,33926,33346,4,オーク村
198,33926,33346,4,オーク村
199,33926,33346,4,オーク村
200,33926,33346,4,オーク村
303,33976,32936,4,オーク村
446,32297,33087,440,海賊島:前半部
447,32750,32874,445,海賊島行きの船着場
451,32744,32818,450,ラスタバド城:正門
452,32744,32818,450,ラスタバド城:正門
453,32744,32818,450,ラスタバド城:正門
454,32744,32818,450,ラスタバド城:正門
455,32744,32818,450,ラスタバド城:正門
456,32744,32818,450,ラスタバド城:正門
