npc_id,item_id,note,order_id,pack_count
50118,40331,ケント ソード,0,0
50118,40332,ケント ボウ,1,0
50118,40333,ケント スタッフ,2,0
50118,40334,ケント デュアルブレード,3,0
50118,40335,ケント アックス,4,0
50118,40336,ケント ブーツ,5,0
50118,40337,ケント メイル,6,0
50118,40338,ケント グローブ,7,0
50118,40339,ケント シールド,8,0
50118,40340,ケント ヘルム,9,0
70001,40141,ブルー 花火,0,0
70001,40145,レッド 花火,1,0
70001,40160,イエロー 花火,2,0
70001,40152,グリーン 花火,3,0
70001,40151,グリーン 円形 花火,4,0
70001,40159,イエロー 円形 花火,5,0
70001,40149,グリーン 雪結晶 花火,6,0
70001,40157,イエロー 雪結晶 花火,7,0
70001,40142,ブルー ハート 花火,8,0
70001,40161,イエロー ハート 花火,9,0
70001,40153,グリーン ハート 花火,10,0
70001,40146,レッド ハート 花火,11,0
70001,40139,ブルー 2段階 花火,12,0
70001,40143,レッド 2段階 花火,13,0
70001,40156,イエロー 2段階 花火,14,0
70001,40148,グリーン 2段階 花火,15,0
70001,40155,イエロー 2段階 円形 花火,16,0
70001,40147,グリーン 2段階 円形 花火,17,0
70001,40136,3連発 花火,18,0
70001,40138,高級 6連発 花火,19,0
70001,40137,6連発 花火,20,0
70001,40158,イエロー スパーク,21,0
70001,40140,ブルー スパーク,22,0
70001,40144,レッド スパーク,23,0
70001,40150,グリーン スパーク,24,0
70001,41357,文字花火：A,25,0
70001,41358,文字花火：B,26,0
70001,41359,文字花火：C,27,0
70001,41360,文字花火：D,28,0
70001,41361,文字花火：E,29,0
70001,41362,文字花火：F,30,0
70001,41363,文字花火：G,31,0
70001,41364,文字花火：H,32,0
70001,41365,文字花火：I,33,0
70001,41366,文字花火：J,34,0
70001,41367,文字花火：K,35,0
70001,41368,文字花火：L,36,0
70001,41369,文字花火：M,37,0
70001,41370,文字花火：N,38,0
70001,41371,文字花火：O,39,0
70001,41372,文字花火：P,40,0
70001,41373,文字花火：Q,41,0
70001,41374,文字花火：R,42,0
70001,41375,文字花火：S,43,0
70001,41376,文字花火：T,44,0
70001,41377,文字花火：U,45,0
70001,41378,文字花火：V,46,0
70001,41379,文字花火：W,47,0
70001,41380,文字花火：X,48,0
70001,41381,文字花火：Y,49,0
70001,41382,文字花火：Z,50,0
70004,40010,レッド ポーション,0,0
70004,40011,オレンジ ポーション,1,0
70004,40012,クリアー ポーション,2,0
70004,40019,濃縮体力回復剤,3,0
70004,40020,濃縮高級体力回復剤,4,0
70004,40021,濃縮強力体力回復剤,5,0
70004,40022,迅速体力回復剤,6,0
70004,40023,迅速高級体力回復剤,7,0
70004,40024,迅速強力体力回復剤,8,0
70004,40013,グリーン ポーション,9,0
70004,40018,強化 グリーン ポーション,10,0
70004,40031,イビル ブラッド,11,0
70004,40014,ブレイブ ポーション,12,0
70004,41415,強化ブレイブ ポーション,13,0
70004,40068,エルヴン ワッフル,14,0
70004,49158,ユグドラの実,15,0
70004,40016,ウィズダム ポーション,16,0
70004,40015,ブルー ポーション,17,0
70004,40017,シアン ポーション,18,0
70004,40032,エヴァの祝福,19,0
70004,40025,オペイク ポーション,20,0
70004,40126,確認 スクロール,21,0
70004,40089,復活スクロール,22,0
70004,40088,変身スクロール,23,0
70004,40100,テレポート スクロール,24,0
70004,40079,帰還スクロール,25,0
70004,40124,血盟帰還スクロール,26,0
70004,40119,解呪スクロール,27,0
70004,40090,ブランク スクロール(Lv1),28,0
70004,40091,ブランク スクロール(Lv2),29,0
70004,40092,ブランク スクロール(Lv3),30,0
70004,40093,ブランク スクロール(Lv4),31,0
70004,40094,ブランク スクロール(Lv5),32,0
70004,40318,魔力の石,33,0
70004,40319,精霊の玉,34,0
70004,40320,黒魔石,35,0
70004,49157,刻印のボーン ピース,36,0
70004,49156,属性石,37,0
70004,41245,溶解剤,38,0
70004,40056,肉,39,0
70004,40057,フローティング アイ 肉,40,0
70004,40315,ペットの笛,41,0
70004,41160,召喚の笛,42,0
70004,40004,パンプキン ランタン,43,0
70004,40002,ランタン,44,0
70004,40003,ランタン オイル,45,0
70004,40317,砥石,46,0
70004,40006,パイン ワンド,47,0
70004,40007,エボニー ワンド,48,0
70004,40008,メイプル ワンド,49,0
70004,40009,追放ワンド,50,0
70004,40325,2面 コイン,51,0
70004,40326,3方向 ルーレット,52,0
70004,40327,4方向 ルーレット,53,0
70004,40328,6面 ダイス,54,0
70004,40901,シルバー エンゲージ リング,55,0
70004,40902,ゴールド エンゲージ リング,56,0
70004,40903,サファイア エンゲージ リング,57,0
70004,40904,エメラルド エンゲージ リング,58,0
70004,40905,ルビー エンゲージ リング,59,0
70004,40906,ダイアモンド エンゲージ リング,60,0
70004,43001,性別変更スクロール(オリジナルアイテム),61,0
70004,43002,ユニーク強化スクロール(ランダム),62,0
70004,43003,ユニーク強化スクロール(AC),63,0
70004,43004,ユニーク強化スクロール(STR),64,0
70004,43005,ユニーク強化スクロール(CON),65,0
70004,43006,ユニーク強化スクロール(DEX),66,0
70004,43007,ユニーク強化スクロール(WIS),67,0
70004,43008,ユニーク強化スクロール(INT),68,0
70004,43009,ユニーク強化スクロール(CHA),69,0
70004,43010,ユニーク強化スクロール(HP),70,0
70004,43011,ユニーク強化スクロール(HPR),71,0
70004,43012,ユニーク強化スクロール(MP),72,0
70004,43013,ユニーク強化スクロール(MPR),73,0
70004,43014,ユニーク強化スクロール(MR),74,0
70004,43015,ユニーク強化スクロール(SP),75,0
70004,43016,ユニーク強化スクロール(武器命中),76,0
70004,43017,ユニーク強化スクロール(追加ダメージ),77,0
70004,43018,ユニーク強化スクロール(遠距離命中),78,0
70004,43019,ユニーク強化スクロール(遠距離ダメージ),79,0
70004,43020,ユニーク強化スクロール(地の属性抵抗),80,0
70004,43021,ユニーク強化スクロール(水の属性抵抗),81,0
70004,43022,ユニーク強化スクロール(火の属性抵抗),82,0
70004,43023,ユニーク強化スクロール(風の属性抵抗),83,0
70004,43024,ユニーク強化スクロール(スタン耐性),84,0
70004,43025,ユニーク強化スクロール(石化耐性),85,0
70004,43026,ユニーク強化スクロール(睡眠耐性),86,0
70004,43027,ユニーク強化スクロール(凍結耐性),87,0
70004,43028,ユニーク強化スクロール(ホールド耐性),88,0
70004,43029,ユニーク強化スクロール(暗闇耐性),89,0
70004,43030,ユニーク強化スクロール(経験値増加),90,0
70004,43031,ユニーク強化スクロール(ヘイスト),91,0
70004,43032,ユニーク強化スクロール(武器非損傷),92,0
70005,40010,レッド ポーション,0,0
70005,40011,オレンジ ポーション,1,0
70005,40012,クリアー ポーション,2,0
70005,40019,濃縮体力回復剤,3,0
70005,40020,濃縮高級体力回復剤,4,0
70005,40021,濃縮強力体力回復剤,5,0
70005,40022,迅速体力回復剤,6,0
70005,40023,迅速高級体力回復剤,7,0
70005,40024,迅速強力体力回復剤,8,0
70005,40013,グリーン ポーション,9,0
70005,40018,強化 グリーン ポーション,10,0
70005,40031,イビル ブラッド,11,0
70005,40014,ブレイブ ポーション,12,0
70005,41415,強化ブレイブ ポーション,13,0
70005,40068,エルヴン ワッフル,14,0
70005,49158,ユグドラの実,15,0
70005,40016,ウィズダム ポーション,16,0
70005,40015,ブルー ポーション,17,0
70005,40017,シアン ポーション,18,0
70005,40032,エヴァの祝福,19,0
70005,40025,オペイク ポーション,20,0
70005,40126,確認 スクロール,21,0
70005,40089,復活スクロール,22,0
70005,40088,変身スクロール,23,0
70005,40100,テレポート スクロール,24,0
70005,40079,帰還スクロール,25,0
70005,40124,血盟帰還スクロール,26,0
70005,40119,解呪スクロール,27,0
70005,40090,ブランク スクロール(Lv1),28,0
70005,40091,ブランク スクロール(Lv2),29,0
70005,40092,ブランク スクロール(Lv3),30,0
70005,40093,ブランク スクロール(Lv4),31,0
70005,40094,ブランク スクロール(Lv5),32,0
70005,40318,魔力の石,33,0
70005,40319,精霊の玉,34,0
70005,40320,黒魔石,35,0
70005,49157,刻印のボーン ピース,36,0
70005,49156,属性石,37,0
70005,41245,溶解剤,38,0
70005,40056,肉,39,0
70005,40057,フローティング アイ 肉,40,0
70005,40315,ペットの笛,41,0
70005,41160,召喚の笛,42,0
70005,40004,パンプキン ランタン,43,0
70005,40002,ランタン,44,0
70005,40003,ランタン オイル,45,0
70005,40317,砥石,46,0
70005,40006,パイン ワンド,47,0
70005,40007,エボニー ワンド,48,0
70005,40008,メイプル ワンド,49,0
70005,40009,追放ワンド,50,0
70005,40325,2面 コイン,51,0
70005,40326,3方向 ルーレット,52,0
70005,40327,4方向 ルーレット,53,0
70005,40328,6面 ダイス,54,0
70005,40901,シルバー エンゲージ リング,55,0
70005,40902,ゴールド エンゲージ リング,56,0
70005,40903,サファイア エンゲージ リング,57,0
70005,40904,エメラルド エンゲージ リング,58,0
70005,40905,ルビー エンゲージ リング,59,0
70005,40906,ダイアモンド エンゲージ リング,60,0
70005,1,オーキッシュ ダガー,61,0
70005,200001,オーキッシュ ダガー,62,0
70005,4,ダガー,63,0
70005,6,ラスタバド ダガー,64,0
70005,21,オーキッシュ ソード,65,0
70005,23,ブロード ソード,66,0
70005,24,ショート ソード,67,0
70005,26,ドワヴィッシュ ソード,68,0
70005,100026,ドワヴィッシュ ソード,69,0
70005,27,シミター,70,0
70005,100027,シミター,71,0
70005,200027,シミター,72,0
70005,25,シルバー ソード,73,0
70005,100025,シルバー ソード,74,0
70005,32,グラディウス,75,0
70005,200032,グラディウス,76,0
70005,31,ロング ソード,77,0
70005,37,ダマスカス ソード,78,0
70005,100037,ダマスカス ソード,79,0
70005,38,ラスタバド ロングソード,80,0
70005,29,シルバー ロング ソード,81,0
70005,100029,シルバー ロング ソード,82,0
70005,41,刀,83,0
70005,100041,刀,84,0
70005,200041,刀,85,0
70005,52,ツーハンド ソード,86,0
70005,100052,ツーハンド ソード,87,0
70005,200052,ツーハンド ソード,88,0
70005,64,グレート ソード,89,0
70005,100064,グレート ソード,90,0
70005,69,ブロンズ デュアル ブレード,91,0
70005,71,スチール デュアル ブレード,92,0
70005,72,シェイド デュアル ブレード,93,0
70005,77,ショート デュアル ブレード,94,0
70005,82,ラスタバド デュアルブレード,95,0
70005,80,ダマスカス デュアル ブレード,96,0
70005,93,トライデント,97,0
70005,90,バルディッシュ,98,0
70005,91,オーキッシュ スピアー,99,0
70005,95,ランス,100,0
70005,100095,ランス,101,0
70005,96,槍,102,0
70005,92,ビルギサルメ,103,0
70005,97,ギサルメ,104,0
70005,98,グレイブ,105,0
70005,100098,グレイブ,106,0
70005,94,パルチザン,107,0
70005,101,ラスタバド スピアー,108,0
70005,103,ハルバード,109,0
70005,100103,ハルバード,110,0
70005,104,フォチャード,111,0
70005,102,ルチェルン ハンマー,112,0
70005,100102,ルチェルン ハンマー,113,0
70005,106,ベク ド コルバン,114,0
70005,128,オーク スタッフ,115,0
70005,129,メイジ スタッフ,116,0
70005,122,ラスタバド スタッフ,117,0
70005,125,ソーサリー スタッフ,118,0
70005,137,アタム,119,0
70005,136,アックス,120,0
70005,138,クラブ,121,0
70005,139,フレイル,122,0
70005,140,メイス,123,0
70005,143,バトル アックス,124,0
70005,100143,バトル アックス,125,0
70005,141,ウォーハンマー,126,0
70005,146,モーニングスター,127,0
70005,100146,モーニングスター,128,0
70005,145,バーサーカー アックス,129,0
70005,142,シルバー アックス,130,0
70005,148,グレート アックス,131,0
70005,144,ドワヴィッシュ アックス,132,0
70005,100144,ドワヴィッシュ アックス,133,0
70005,152,ブロンズ クロウ,134,0
70005,153,スチール クロウ,135,0
70005,154,シェイド クロウ,136,0
70005,159,ショート クロウ,137,0
70005,161,ダマスカス クロウ,138,0
70005,171,オーキッシュ ボウ,139,0
70005,200171,オーキッシュ ボウ,140,0
70005,172,ボウ,141,0
70005,100172,ボウ,142,0
70005,176,ラスタバド ボウ,143,0
70005,169,ハンターボウ,144,0
70005,100169,ハンターボウ,145,0
70005,193,ガントレット,146,0
70005,20034,オーキッシュ ヘルム,147,0
70005,220034,オーキッシュ ヘルム,148,0
70005,20043,ヘルム,149,0
70005,120043,ヘルム,150,0
70005,220043,ヘルム,151,0
70005,20007,ドワヴィッシュ アイアン ヘルム,152,0
70005,120007,ドワヴィッシュ アイアン ヘルム,153,0
70005,20011,マジック ヘルム,154,0
70005,120011,マジック ヘルム,155,0
70005,20006,ナイト バイザー,156,0
70005,20014,魔法のヘルム：治癒,157,0
70005,20015,魔法のヘルム：力,158,0
70005,20013,魔法のヘルム：迅速,159,0
70005,20036,魔法のヘルム：暗視,160,0
70005,20072,オーキッシュ クローク,161,0
70005,20052,ドワヴィッシュ クローク,162,0
70005,120052,ドワヴィッシュ クローク,163,0
70005,20114,コットン ローブ,164,0
70005,20322,レザー ジャケット,165,0
70005,20089,レザー アーマー,166,0
70005,20147,スタデッド レザー アーマー,167,0
70005,220147,スタデッド レザー アーマー,168,0
70005,20135,オーキッシュ リング メイル,169,0
70005,220135,オーキッシュ リング メイル,170,0
70005,20096,リング メイル,171,0
70005,20136,オーキッシュ チェーン メイル,172,0
70005,220136,オーキッシュ チェーン メイル,173,0
70005,20122,スケイル メイル,174,0
70005,220122,スケイル メイル,175,0
70005,20125,チェーン メイル,176,0
70005,220125,チェーン メイル,177,0
